brand_name,corp_name,year,startup_cost_만원,avg_sales_만원,store_count,closure_rate_percent,new_store_count,contract_end_count,contract_cancel_count,business_years,page_url
치킨신드롬,(주)오앤씨웰푸드,2023,51600,147002,169,18.34,22,0,31,21년 3개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%8B%A0%EB%93%9C%EB%A1%AC-BRD_20080300020
동근이숯불두마리치킨,(주)디지에프앤비,2024,49860,243944,167,22.75,40,2,36,8년 2개월,https://jshj.net/brands/%EB%8F%99%EA%B7%BC%EC%9D%B4%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20161199
화락바베큐치킨,에이치에프비지(주),2024,55600,328060,126,3.97,91,0,5,3년 5개월,https://jshj.net/brands/%ED%99%94%EB%9D%BD%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20214343
아라치,(주)삼화에프앤디,,,,,,,,,,https://jshj.net/brands/%EC%95%84%EB%9D%BC%EC%B9%98-BRD_20212359
깐부치킨,(주)깐부,2023,108000,471977,169,7.69,6,0,13,17년 7개월,https://jshj.net/brands/%EA%B9%90%EB%B6%80%EC%B9%98%ED%82%A8-BRD_20100100377
치킨마루,다인에프씨(주),2023,33670,120055,208,24.52,27,0,51,18년 7개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%A7%88%EB%A3%A8-BRD_20080100052
티바두마리치킨,(주)신라외식개발,2023,42826,130284,217,48.39,17,0,105,22년 2개월,https://jshj.net/brands/%ED%8B%B0%EB%B0%94%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20080300019
오븐마루,(주)오엠푸드,2023,56000,229119,122,24.59,21,0,30,9년 4개월,https://jshj.net/brands/%EC%98%A4%EB%B8%90%EB%A7%88%EB%A3%A8-BRD_20130505
신통치킨,(주)올치에프씨,2023,39700,54064,189,12.17,12,0,23,10년 6개월,https://jshj.net/brands/%EC%8B%A0%ED%86%B5%EC%B9%98%ED%82%A8-BRD_20140100
돈치킨,다인에프씨(주),2023,66000,180529,175,17.14,14,0,30,10년 0개월,https://jshj.net/brands/%EB%8F%88%EC%B9%98%ED%82%A8-BRD_20080100259
순살몬스터,(주)신라외식개발,2023,41350,45209,165,22.42,202,0,37,2년 4개월,https://jshj.net/brands/%EC%88%9C%EC%82%B4%EB%AA%AC%EC%8A%A4%ED%84%B0-BRD_20215029
썬더치킨,(주)썬더치킨,2023,78800,162296,120,153.33,27,0,184,18년 5개월,https://jshj.net/brands/%EC%8D%AC%EB%8D%94%EC%B9%98%ED%82%A8-BRD_20130538
코리엔탈깻잎두마리치킨,(주)채움푸드,2023,13071,99742,196,45.92,14,0,90,10년 1개월,https://jshj.net/brands/%EC%BD%94%EB%A6%AC%EC%97%94%ED%83%88%EA%B9%BB%EC%9E%8E%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20140706
맛닭꼬,(주)꼬꼬에프앤비,2023,65850,324151,125,12,12,15,0,13년 10개월,https://jshj.net/brands/%EB%A7%9B%EB%8B%AD%EA%BC%AC-BRD_20110100490
