brand_name,corp_name,year,startup_cost_만원,avg_sales_만원,store_count,closure_rate_percent,new_store_count,contract_end_count,contract_cancel_count,business_years,page_url
화르화르,(주)에이치브라더스,2023,28000,0,27,0,0,0,0,11년 11개월,https://jshj.net/brands/%ED%99%94%EB%A5%B4%ED%99%94%EB%A5%B4-BRD_20120300066
치킨더홈,(주)멕시카나,2023,32160,0,0,,0,0,0,17년 0개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%8D%94%ED%99%88-BRD_20080100499
무봤나촌닭,(주)무촌식품,2023,77010,359972,31,12.9,5,0,4,21년 1개월,https://jshj.net/brands/%EB%AC%B4%EB%B4%A4%EB%82%98%EC%B4%8C%EB%8B%AD-BRD_20080300015
배달비무료치밥&제육,(주)세현에프앤비,2023,14900,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EB%B0%B0%EB%8B%AC%EB%B9%84%EB%AC%B4%EB%A3%8C%EC%B9%98%EB%B0%A5%EC%A0%9C%EC%9C%A1-BRD_20231461
순치킨,(주)인푸드,2025,,155737,16,62.5,11,0,10,,https://jshj.net/brands/%EC%88%9C%EC%B9%98%ED%82%A8-BRD_20200381
새우치킨덤,도움,2024,30800,71453,37,54.05,8,18,2,3년 3개월,https://jshj.net/brands/%EC%83%88%EC%9A%B0%EC%B9%98%ED%82%A8%EB%8D%A4-BRD_20215448
공만치킨,(주)공만치킨,2024,67570,147688,28,0,0,0,0,5년 2개월,https://jshj.net/brands/%EA%B3%B5%EB%A7%8C%EC%B9%98%ED%82%A8-BRD_20210311
치킨멤버,닭촌축산,2023,23500,74173,26,19.23,2,5,0,10년 7개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%A9%A4%EB%B2%84-BRD_20160070
인정후라이드,(주)인정메이트,2023,0,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%9D%B8%EC%A0%95%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C-BRD_20230590
쌍둥이숯불두마리치킨,숯불치킨전문기업투엘,2023,23280,254163,17,0,17,0,0,2년 1개월,https://jshj.net/brands/%EC%8C%8D%EB%91%A5%EC%9D%B4%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20220395
치교치킨,(주)아이언가이즈,,,,,,,,,,https://jshj.net/brands/%EC%B9%98%EA%B5%90%EC%B9%98%ED%82%A8-BRD_20200505
또또닭강정,(주)홈앤치킨,2023,17200,169242,22,27.27,4,6,0,4년 7개월,https://jshj.net/brands/%EB%98%90%EB%98%90%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20191037
꼬꼬아찌,(주)세경에프앤비,2023,42410,113687,37,27.03,2,0,10,24년 5개월,https://jshj.net/brands/%EA%BC%AC%EA%BC%AC%EC%95%84%EC%B0%8C-BRD_20190976
수셰프치킨,(주)정인,2023,34380,17936,25,20,14,0,5,3년 9개월,https://jshj.net/brands/%EC%88%98%EC%85%B0%ED%94%84%EC%B9%98%ED%82%A8-BRD_20210651
경두치,(주)위캔두잇,2024,25800,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EA%B2%BD%EB%91%90%EC%B9%98-BRD_20240426
장터옛날통닭,(주)계주,2023,34020,75887,24,8.33,1,0,2,7년 5개월,https://jshj.net/brands/%EC%9E%A5%ED%84%B0%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20210576
밥에큐 치킨,(주)모아드림에프앤비,2024,116600,0,17,0,17,0,0,2년 2개월,https://jshj.net/brands/%EB%B0%A5%EC%97%90%ED%81%90%20%EC%B9%98%ED%82%A8-BRD_20230869
웰덤치킨,(주)푸디노에프앤디,2023,34550,96630,42,59.52,0,0,25,6년 0개월,https://jshj.net/brands/%EC%9B%B0%EB%8D%A4%EC%B9%98%ED%82%A8-BRD_20180406
못말리는파닭,그레이스티엔에프(주),,,,,,,,,,https://jshj.net/brands/%EB%AA%BB%EB%A7%90%EB%A6%AC%EB%8A%94%ED%8C%8C%EB%8B%AD-BRD_20120100595
사쿠사쿠,(주)계미락,2023,44490,244252,30,6.67,2,1,1,11년 10개월,https://jshj.net/brands/%EC%82%AC%EC%BF%A0%EC%82%AC%EC%BF%A0-BRD_20120100339
조선의 옛날통닭,제이에프앤씨,2023,44030,104591,31,6.45,3,2,0,9년 10개월,https://jshj.net/brands/%EC%A1%B0%EC%84%A0%EC%9D%98%20%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20160173
두리아,(주)두리아,2023,63490,140652,25,16,2,0,4,23년 9개월,https://jshj.net/brands/%EB%91%90%EB%A6%AC%EC%95%84-BRD_20080200002
정석닭강정,(주)정석닭강정,2023,48000,0,6,0,6,0,0,1년 7개월,https://jshj.net/brands/%EC%A0%95%EC%84%9D%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20220919
옛날장터치킨,(주)씨드트리,2023,28390,87513,33,12.12,0,0,4,13년 4개월,https://jshj.net/brands/%EC%98%9B%EB%82%A0%EC%9E%A5%ED%84%B0%EC%B9%98%ED%82%A8-BRD_20120100376
투가이즈(TWO GUYS),(주)티지컴퍼니,2023,47630,251269,34,23.53,8,2,6,8년 4개월,https://jshj.net/brands/%ED%88%AC%EA%B0%80%EC%9D%B4%EC%A6%88(TWO%20GUYS)-BRD_20181303
계혁명,(주)지니푸드,2025,,134910,22,22.73,17,0,5,,https://jshj.net/brands/%EA%B3%84%ED%98%81%EB%AA%85-BRD_20230114
이나닭강정,이나푸드,2023,59100,247817,8,12.5,1,0,1,3년 2개월,https://jshj.net/brands/%EC%9D%B4%EB%82%98%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20211538
전기구이 이한량통닭,한량통닭보라본점,2023,34750,146736,12,0,12,0,0,2년 1개월,https://jshj.net/brands/%EC%A0%84%EA%B8%B0%EA%B5%AC%EC%9D%B4%20%EC%9D%B4%ED%95%9C%EB%9F%89%ED%86%B5%EB%8B%AD-BRD_20220668
치킨주막,(주)신미푸드,2023,49500,0,0,,0,0,0,15년 1개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%A3%BC%EB%A7%89-BRD_20090100471
후켄통통치킨,(주)후켄,2024,85680,0,0,,0,0,0,0년 9개월,https://jshj.net/brands/%ED%9B%84%EC%BC%84%ED%86%B5%ED%86%B5%EC%B9%98%ED%82%A8-BRD_20240609
조선CH.S치킨,(주)씨에스,2023,11500,131990,22,13.64,3,0,3,21년 1개월,https://jshj.net/brands/%EC%A1%B0%EC%84%A0CH.S%EC%B9%98%ED%82%A8-BRD_20080400017
온고지신 통닭원,민푸드,2024,28500,0,0,,0,0,0,6년 9개월,https://jshj.net/brands/%EC%98%A8%EA%B3%A0%EC%A7%80%EC%8B%A0%20%ED%86%B5%EB%8B%AD%EC%9B%90-BRD_20180167
퐁닭,아임퐁닭(주),2024,40950,14992,20,45,11,0,9,2년 10개월,https://jshj.net/brands/%ED%90%81%EB%8B%AD-BRD_20211810
오늘치킨완료,도움,2023,30800,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%98%A4%EB%8A%98%EC%B9%98%ED%82%A8%EC%99%84%EB%A3%8C-BRD_20231386
투존치킨,(주)나도람에프씨,2023,43330,106909,86,61.63,2,6,47,14년 1개월,https://jshj.net/brands/%ED%88%AC%EC%A1%B4%EC%B9%98%ED%82%A8-BRD_20140651
낭만장작,㈜낭만에프앤비,,,,,,,,,,https://jshj.net/brands/%EB%82%AD%EB%A7%8C%EC%9E%A5%EC%9E%91-BRD_20191414
굿킨,(주)조은에프씨,2023,46045,0,2,0,2,0,0,1년 8개월,https://jshj.net/brands/%EA%B5%BF%ED%82%A8-BRD_20220375
순살의민족,(주)더킹에프엔씨,2023,93000,221821,33,69.7,10,23,0,2년 10개월,https://jshj.net/brands/%EC%88%9C%EC%82%B4%EC%9D%98%EB%AF%BC%EC%A1%B1-BRD_20211596
돌통,(주)돌통돌아온옛날통닭,2023,14850,213382,9,0,2,0,0,3년 9개월,https://jshj.net/brands/%EB%8F%8C%ED%86%B5-BRD_20200951
징기스칸치킨,(자)징기스칸,2023,24750,37137,20,0,0,0,0,21년 8개월,https://jshj.net/brands/%EC%A7%95%EA%B8%B0%EC%8A%A4%EC%B9%B8%EC%B9%98%ED%82%A8-BRD_20100500010
김성구 의성마늘치킨,오케이푸드,2025,,159414,18,16.67,5,1,2,,https://jshj.net/brands/%EA%B9%80%EC%84%B1%EA%B5%AC%20%EC%9D%98%EC%84%B1%EB%A7%88%EB%8A%98%EC%B9%98%ED%82%A8-BRD_20150612
오빠통닭,(주)오빠통닭,2023,35546,0,2,0,2,0,0,2년 4개월,https://jshj.net/brands/%EC%98%A4%EB%B9%A0%ED%86%B5%EB%8B%AD-BRD_20220308
삼십구치킨,39치킨본부,2023,55044,66239,19,10.53,0,2,0,14년 11개월,https://jshj.net/brands/%EC%82%BC%EC%8B%AD%EA%B5%AC%EC%B9%98%ED%82%A8-BRD_20140543
치킨과 바람피자,치킨과바람피자,2023,43120,174524,32,90.63,8,2,27,6년 8개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EA%B3%BC%20%EB%B0%94%EB%9E%8C%ED%94%BC%EC%9E%90-BRD_20171201
내가 조선의 치킨이고 맥주다,(주)조맥에프앤비,2023,109250,348093,8,0,2,0,0,4년 9개월,https://jshj.net/brands/%EB%82%B4%EA%B0%80%20%EC%A1%B0%EC%84%A0%EC%9D%98%20%EC%B9%98%ED%82%A8%EC%9D%B4%EA%B3%A0%20%EB%A7%A5%EC%A3%BC%EB%8B%A4-BRD_20201219
BRD백록담,비알디백록담,2023,55350,0,17,23.53,0,3,1,14년 1개월,https://jshj.net/brands/BRD%EB%B0%B1%EB%A1%9D%EB%8B%B4-BRD_20100600034
The맛있는파닭,(주)채움푸드,2023,13071,17634,24,8.33,16,0,2,2년 5개월,https://jshj.net/brands/The%EB%A7%9B%EC%9E%88%EB%8A%94%ED%8C%8C%EB%8B%AD-BRD_20215408
바비큐보스,(주)푸디세이,2023,81790,66968,18,22.22,0,4,0,4년 9개월,https://jshj.net/brands/%EB%B0%94%EB%B9%84%ED%81%90%EB%B3%B4%EC%8A%A4-BRD_20200327
꿀삐닭강정,(주)에스엔인더스트리,2024,43030,0,21,4.76,2,0,1,12년 11개월,https://jshj.net/brands/%EA%BF%80%EC%82%90%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20120100661
가장맛있는치킨,에이치에스푸드,2024,31900,0,5,0,5,0,0,1년 6개월,https://jshj.net/brands/%EA%B0%80%EC%9E%A5%EB%A7%9B%EC%9E%88%EB%8A%94%EC%B9%98%ED%82%A8-BRD_20201119
상문이두마리숯불양념치킨,푸드메이트,2023,28550,131719,16,43.75,1,0,7,17년 0개월,https://jshj.net/brands/%EC%83%81%EB%AC%B8%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%88%AF%EB%B6%88%EC%96%91%EB%85%90%EC%B9%98%ED%82%A8-BRD_20181090
하우스홀드(HOUSEHOLD),푸드피아,,,,,,,,,,https://jshj.net/brands/%ED%95%98%EC%9A%B0%EC%8A%A4%ED%99%80%EB%93%9C(HOUSEHOLD)-BRD_20080200184
꼬레랑,(주)맛나푸드,2023,87450,134840,18,11.11,0,0,2,6년 0개월,https://jshj.net/brands/%EA%BC%AC%EB%A0%88%EB%9E%91-BRD_20180722
허대구 대구통닭,(주)디티에프앤비,2023,160183,290460,24,8.33,0,2,0,12년 7개월,https://jshj.net/brands/%ED%97%88%EB%8C%80%EA%B5%AC%20%EB%8C%80%EA%B5%AC%ED%86%B5%EB%8B%AD-BRD_20120600075
치맥킹,(주)씨엠케이푸드,2023,170000,877877,7,0,1,0,0,6년 3개월,https://jshj.net/brands/%EC%B9%98%EB%A7%A5%ED%82%B9-BRD_20181324
VFC치킨파티,선진VFC,2023,13550,87439,21,33.33,1,7,0,13년 4개월,https://jshj.net/brands/VFC%EC%B9%98%ED%82%A8%ED%8C%8C%ED%8B%B0-BRD_20110600010
치킨89(치킨팔구),(주)우분트,2023,40650,138537,18,16.67,2,0,3,9년 4개월,https://jshj.net/brands/%EC%B9%98%ED%82%A889(%EC%B9%98%ED%82%A8%ED%8C%94%EA%B5%AC)-BRD_20170113
위드치킨,(주)도연에프앤비,2025,,35157,16,18.75,0,0,3,,https://jshj.net/brands/%EC%9C%84%EB%93%9C%EC%B9%98%ED%82%A8-BRD_20080200222
존슨켄터키,(주)비브라더스,2023,90550,0,16,0,0,0,0,9년 7개월,https://jshj.net/brands/%EC%A1%B4%EC%8A%A8%EC%BC%84%ED%84%B0%ED%82%A4-BRD_20140971
숯불민족,(주)국민키친,2023,107900,97455,3,0,1,0,0,3년 2개월,https://jshj.net/brands/%EC%88%AF%EB%B6%88%EB%AF%BC%EC%A1%B1-BRD_20211372
장수치킨맥주,엘케이(LK)푸드,2024,63600,0,12,0,12,0,0,1년 5개월,https://jshj.net/brands/%EC%9E%A5%EC%88%98%EC%B9%98%ED%82%A8%EB%A7%A5%EC%A3%BC-BRD_20231172
청년숯불두마리치킨,청년숯불두마리치킨,2023,16950,0,3,0,3,0,0,0년 0개월,https://jshj.net/brands/%EC%B2%AD%EB%85%84%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20220210
백년가마솥옛날통닭,현성식품(주),2023,36300,126083,14,71.43,1,10,0,7년 4개월,https://jshj.net/brands/%EB%B0%B1%EB%85%84%EA%B0%80%EB%A7%88%EC%86%A5%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20190336
다기몽,진F&S,2023,65350,111022,13,0,13,0,0,2년 3개월,https://jshj.net/brands/%EB%8B%A4%EA%B8%B0%EB%AA%BD-BRD_20215869
가마꿉,(주)그남자네식품,2023,65600,0,22,31.82,5,5,2,4년 5개월,https://jshj.net/brands/%EA%B0%80%EB%A7%88%EA%BF%89-BRD_20191203
그집마늘치킨&쪼닭,케이디디유통,2025,,195502,14,7.14,6,1,0,,https://jshj.net/brands/%EA%B7%B8%EC%A7%91%EB%A7%88%EB%8A%98%EC%B9%98%ED%82%A8%EC%AA%BC%EB%8B%AD-BRD_20191031
꿀마니 닭강정,(주)진성푸드,2023,53250,50859,18,22.22,0,0,4,9년 7개월,https://jshj.net/brands/%EA%BF%80%EB%A7%88%EB%8B%88%20%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20201147
맥켄치킨,(주)대한에프앤에스,2023,30600,74398,22,4.55,0,1,0,24년 9개월,https://jshj.net/brands/%EB%A7%A5%EC%BC%84%EC%B9%98%ED%82%A8-BRD_20080200039
정성숯불두마리치킨,(주)정성앤푸드,2024,40180,447000,12,0,10,0,0,2년 9개월,https://jshj.net/brands/%EC%A0%95%EC%84%B1%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20220135
치킨삼파전,이온유통,2023,28620,31734,20,15,2,0,3,14년 1개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%82%BC%ED%8C%8C%EC%A0%84-BRD_20100300010
파-닭에파무쳐,에스엠푸드(주),2023,20900,90215,17,23.53,0,3,1,16년 4개월,https://jshj.net/brands/%ED%8C%8C-%EB%8B%AD%EC%97%90%ED%8C%8C%EB%AC%B4%EC%B3%90-BRD_20090600075
찌웅이네숯불두마리치킨,웅스키친,2023,30300,492786,10,20,7,0,2,3년 4개월,https://jshj.net/brands/%EC%B0%8C%EC%9B%85%EC%9D%B4%EB%84%A4%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20212147
왕초바베큐,(주)모다플레이스,2024,73370,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%99%95%EC%B4%88%EB%B0%94%EB%B2%A0%ED%81%90-BRD_20240018
시골숯불치킨,시골식품,2023,27630,111850,21,14.29,1,0,3,21년 7개월,https://jshj.net/brands/%EC%8B%9C%EA%B3%A8%EC%88%AF%EB%B6%88%EC%B9%98%ED%82%A8-BRD_20210247
chick by chick(칙바이칙),(주)에프엔어니스티,2023,129850,0,3,0,3,0,0,1년 10개월,https://jshj.net/brands/chick%20by%20chick(%EC%B9%99%EB%B0%94%EC%9D%B4%EC%B9%99)-BRD_20212342
신예원닭강정,예원푸드,2023,36372,88087,11,18.18,0,0,2,3년 3개월,https://jshj.net/brands/%EC%8B%A0%EC%98%88%EC%9B%90%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20210185
뚝방닭구이,(주)스탠드업에프앤비,2024,114100,390341,19,26.32,15,5,0,2년 5개월,https://jshj.net/brands/%EB%9A%9D%EB%B0%A9%EB%8B%AD%EA%B5%AC%EC%9D%B4-BRD_20210238
피치타임,(주)엘에이치지,2023,29551,0,3,33.33,2,1,0,4년 10개월,https://jshj.net/brands/%ED%94%BC%EC%B9%98%ED%83%80%EC%9E%84-BRD_20190704
올마이티키친,올마이티키친㈜,2023,44890,28472,6,50,0,0,3,3년 10개월,https://jshj.net/brands/%EC%98%AC%EB%A7%88%EC%9D%B4%ED%8B%B0%ED%82%A4%EC%B9%9C-BRD_20211311
통닭연구소,(주)에스엔푸드,2024,52215,247647,15,0,4,0,0,4년 2개월,https://jshj.net/brands/%ED%86%B5%EB%8B%AD%EC%97%B0%EA%B5%AC%EC%86%8C-BRD_20241567
치킨파머스,금화식품(주),2023,59320,360391,4,0,1,0,0,4년 1개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%ED%8C%8C%EB%A8%B8%EC%8A%A4-BRD_20201175
치킨히어로,(주)티오엘드림,2024,52200,109661,15,6.67,0,0,1,13년 5개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%ED%9E%88%EC%96%B4%EB%A1%9C-BRD_20120100268
튀김장인,(주)호현에프앤비,2024,56150,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%ED%8A%80%EA%B9%80%EC%9E%A5%EC%9D%B8-BRD_20214524
칠칠켄터키,(주)텐퍼센트커피,,,,,,,,,,https://jshj.net/brands/%EC%B9%A0%EC%B9%A0%EC%BC%84%ED%84%B0%ED%82%A4-BRD_20120300101
치요남치킨,(주)한송에프에스,2023,33000,159174,19,205.26,2,8,31,6년 3개월,https://jshj.net/brands/%EC%B9%98%EC%9A%94%EB%82%A8%EC%B9%98%ED%82%A8-BRD_20180420
닭가대표,(주)비엠에프앤비,2024,50700,228944,10,40,5,0,4,4년 0개월,https://jshj.net/brands/%EB%8B%AD%EA%B0%80%EB%8C%80%ED%91%9C-BRD_20211144
One&Two깻잎두마리치킨,흥성에프디,2023,29270,52264,24,41.67,1,10,0,5년 4개월,https://jshj.net/brands/OneTwo%EA%B9%BB%EC%9E%8E%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20190063
큰손1치킨2피자,(주)큰손에프씨,2023,65600,258014,9,0,8,0,0,2년 6개월,https://jshj.net/brands/%ED%81%B0%EC%86%901%EC%B9%98%ED%82%A82%ED%94%BC%EC%9E%90-BRD_20214093
국민마늘치킨,국민마늘치킨본부,2023,41150,336591,14,35.71,11,3,2,4년 11개월,https://jshj.net/brands/%EA%B5%AD%EB%AF%BC%EB%A7%88%EB%8A%98%EC%B9%98%ED%82%A8-BRD_20190675
더썬치킨,지오디,2023,45665,106673,12,0,1,0,0,8년 6개월,https://jshj.net/brands/%EB%8D%94%EC%8D%AC%EC%B9%98%ED%82%A8-BRD_20151196
김삿갓통닭,(주)공감,2023,54700,277605,13,23.08,0,3,0,5년 8개월,https://jshj.net/brands/%EA%B9%80%EC%82%BF%EA%B0%93%ED%86%B5%EB%8B%AD-BRD_20200217
87닭강정,팔칠(87')닭강정,2023,38500,0,0,,0,0,0,8년 4개월,https://jshj.net/brands/87%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20150769
맛있게매운(빨석구)빨간석쇠구이,장인푸드,2024,46450,0,0,,0,0,0,9년 11개월,https://jshj.net/brands/%EB%A7%9B%EC%9E%88%EA%B2%8C%EB%A7%A4%EC%9A%B4(%EB%B9%A8%EC%84%9D%EA%B5%AC)%EB%B9%A8%EA%B0%84%EC%84%9D%EC%87%A0%EA%B5%AC%EC%9D%B4-BRD_20150476
쌀쌀맞은닭,알곡푸드(주),2024,85840,210094,11,36.36,1,0,4,10년 6개월,https://jshj.net/brands/%EC%8C%80%EC%8C%80%EB%A7%9E%EC%9D%80%EB%8B%AD-BRD_20140884
부뚜막치킨,(주)케이더블유프랜차이즈,2023,12450,85434,10,20,0,0,2,11년 7개월,https://jshj.net/brands/%EB%B6%80%EB%9A%9C%EB%A7%89%EC%B9%98%ED%82%A8-BRD_20130100296
치킨퐁,(주)비어프랜드,2023,103462,174498,12,8.33,0,0,1,15년 10개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%ED%90%81-BRD_20080500030
굽는치킨,계산씨케이,2023,14520,52940,13,0,0,0,0,17년 6개월,https://jshj.net/brands/%EA%B5%BD%EB%8A%94%EC%B9%98%ED%82%A8-BRD_20080200128
비비닭강정,비비 닭강정,,,,,,,,,,https://jshj.net/brands/%EB%B9%84%EB%B9%84%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20241740
오늘닭강정,(주)로희,2023,29700,205481,7,0,1,0,0,3년 5개월,https://jshj.net/brands/%EC%98%A4%EB%8A%98%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20201639
후라이드바삭킹,도움,2023,30800,119959,14,85.71,3,11,1,5년 4개월,https://jshj.net/brands/%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C%EB%B0%94%EC%82%AD%ED%82%B9-BRD_20190016
처갓집플러스케이준치킨,(주)한국일오삼,2023,31250,263629,10,0,0,0,0,17년 11개월,https://jshj.net/brands/%EC%B2%98%EA%B0%93%EC%A7%91%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%BC%80%EC%9D%B4%EC%A4%80%EC%B9%98%ED%82%A8-BRD_20080200120
깜꼬치킨,위더스FC,2023,41100,25740,10,0,0,0,0,8년 8개월,https://jshj.net/brands/%EA%B9%9C%EA%BC%AC%EC%B9%98%ED%82%A8-BRD_20171191
아이러브피자&치킨,(주)더난푸드,,,,,,,,,,https://jshj.net/brands/%EC%95%84%EC%9D%B4%EB%9F%AC%EB%B8%8C%ED%94%BC%EC%9E%90%EC%B9%98%ED%82%A8-BRD_20190082
국민통닭,(주)국민스타즈,2023,34450,116819,12,33.33,1,0,4,3년 6개월,https://jshj.net/brands/%EA%B5%AD%EB%AF%BC%ED%86%B5%EB%8B%AD-BRD_20210894
DDC치킨,에스엠(SM)푸드,2025,,75788,10,0,0,0,0,,https://jshj.net/brands/DDC%EC%B9%98%ED%82%A8-BRD_20170868
더꾸닭꾸두마리치킨,더꾸닭꾸,2024,35176,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EB%8D%94%EA%BE%B8%EB%8B%AD%EA%BE%B8%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20240801
진강정,진강정,2023,44000,255773,9,11.11,3,1,0,4년 2개월,https://jshj.net/brands/%EC%A7%84%EA%B0%95%EC%A0%95-BRD_20220547
닭서방,(주)돈키오태,2023,50400,153927,9,33.33,0,3,0,4년 7개월,https://jshj.net/brands/%EB%8B%AD%EC%84%9C%EB%B0%A9-BRD_20190943
송송숯불두마리치킨,이가F&B,2023,46343,131186,11,0,11,0,0,2년 5개월,https://jshj.net/brands/%EC%86%A1%EC%86%A1%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20214709
화신바베큐치킨,(주)세기에프앤에스,2023,75983,0,0,,0,0,0,1년 2개월,https://jshj.net/brands/%ED%99%94%EC%8B%A0%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20221315
똥집의 달인,똥집의달인,2023,29490,113631,10,10,1,1,0,13년 1개월,https://jshj.net/brands/%EB%98%A5%EC%A7%91%EC%9D%98%20%EB%8B%AC%EC%9D%B8-BRD_20171235
본가통닭1981,(주)비오씨,2023,57000,189135,10,10,1,0,1,7년 8개월,https://jshj.net/brands/%EB%B3%B8%EA%B0%80%ED%86%B5%EB%8B%AD1981-BRD_20171207
매드후라이치킨,(주)에스씨에프,2024,67760,396258,10,20,3,0,2,14년 4개월,https://jshj.net/brands/%EB%A7%A4%EB%93%9C%ED%9B%84%EB%9D%BC%EC%9D%B4%EC%B9%98%ED%82%A8-BRD_20120100627
꺼구리치킨,(주)꺼구리푸드,2023,48000,300429,12,16.67,12,0,2,2년 6개월,https://jshj.net/brands/%EA%BA%BC%EA%B5%AC%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20212869
아침닭,(주)홈앤치킨,2023,17200,119016,9,22.22,0,2,0,8년 4개월,https://jshj.net/brands/%EC%95%84%EC%B9%A8%EB%8B%AD-BRD_20160660
수찜닭,수F&B,2023,51700,249643,13,15.38,2,0,2,4년 10개월,https://jshj.net/brands/%EC%88%98%EC%B0%9C%EB%8B%AD-BRD_20210168
꿀닭,(주)푸디세이,2023,50750,54535,10,70,0,7,0,12년 1개월,https://jshj.net/brands/%EA%BF%80%EB%8B%AD-BRD_20120100157
치킨고래,(주)BTK,2024,48750,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EA%B3%A0%EB%9E%98-BRD_20240541
찐불이 찐숯불 두마리 치킨,찐불이찐숯불두마리치킨,2024,68100,0,0,,0,0,0,0년 9개월,https://jshj.net/brands/%EC%B0%90%EB%B6%88%EC%9D%B4%20%EC%B0%90%EC%88%AF%EB%B6%88%20%EB%91%90%EB%A7%88%EB%A6%AC%20%EC%B9%98%ED%82%A8-BRD_20240607
더기발한치킨(The기발한치킨),(주)더기발한,2023,74300,156280,12,66.67,0,0,8,12년 11개월,https://jshj.net/brands/%EB%8D%94%EA%B8%B0%EB%B0%9C%ED%95%9C%EC%B9%98%ED%82%A8(The%EA%B8%B0%EB%B0%9C%ED%95%9C%EC%B9%98%ED%82%A8)-BRD_20110100457
잉치킨,사재,2024,65100,299793,9,44.44,0,0,4,8년 8개월,https://jshj.net/brands/%EC%9E%89%EC%B9%98%ED%82%A8-BRD_20190348
치킨의민족,(주)청연에프앤비,2023,50900,125121,23,82.61,5,6,13,5년 6개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%9D%98%EB%AF%BC%EC%A1%B1-BRD_20181268
몽두마리치킨,갓몽,2023,51700,0,8,0,7,0,0,2년 8개월,https://jshj.net/brands/%EB%AA%BD%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20212908
문진옥 숯불바베큐치킨,문진옥숯불바베큐치킨,2023,44250,138143,8,12.5,2,0,1,6년 0개월,https://jshj.net/brands/%EB%AC%B8%EC%A7%84%EC%98%A5%20%EC%88%AF%EB%B6%88%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20200026
김종용누룽지통닭,(주)유앤아이레시피,2023,93550,458578,8,25,0,0,2,8년 7개월,https://jshj.net/brands/%EA%B9%80%EC%A2%85%EC%9A%A9%EB%88%84%EB%A3%BD%EC%A7%80%ED%86%B5%EB%8B%AD-BRD_20151090
치킨선생,(주)정성담다,2023,40940,279764,17,29.41,1,0,5,6년 6개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EC%84%A0%EC%83%9D-BRD_20181113
고려통닭,(주)엘에이치지,2023,118600,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EA%B3%A0%EB%A0%A4%ED%86%B5%EB%8B%AD-BRD_20200266
